ID,Recipient,Amount,Currency
105,Shelby Beltran,3740.76,MXN
106,Larry Gordon,2757.47,ZAR
107,Jasmin Stevens,7473.59,HKD
108,Jose Ramos,4436.39,INR
109,Melissa Rodriguez,8756.2,BRL
110,Nicole Bailey,516.8,SEK
111,Anne Singleton,8128.4,CHF
112,Brittany Rogers,559.52,NOK
113,Bill Sandoval,7483.88,HKD
114,Joseph Estrada,6542.22,MXN
115,Sophia Chen,6859.24,MXN
116,Kathy Ramirez,8079.74,DKK
117,Jennifer Smith,5026.14,BRL
118,Thomas Young,2793.69,KRW
119,Peter Huffman,2223.76,CHF
120,Mark Dominguez,624.98,DKK
121,Dr. David Henderson,6729.67,HKD
122,Shannon Robinson,6246.58,EUR
123,Regina Charles,371.55,MXN
124,Andrew Lopez,3105.98,NOK
125,Tammy Herrera,7226.79,ILS
126,Jason Hendricks,8398.49,EUR
127,Amy Patel,4058.02,JPY
128,Stephen Holder,8175.71,NZD
129,Keith Nguyen,8052.94,CAD
130,Toni Russell,6610.32,JPY
131,Jacob Smith,7447.51,ZAR
132,Angela Carrillo,3739.12,SGD
133,Kevin Holland,9912.95,NOK
134,Kristine Nunez,9458.32,NZD
135,Mark Benitez,215.92,ILS
136,Matthew Mclean,6199.47,NOK
137,Kevin Allison,620.69,SEK
138,Teresa Parrish,8747.32,KRW
139,Lisa Powers,6970.64,KRW
140,Joseph Strickland,6939.05,ILS
141,Charles Yoder,1225.34,SGD
142,Amanda Fields,4199.73,ZAR
143,Randy Hanson,2288.59,HKD
144,Paige Holland,3524.28,HKD
145,Suzanne Howard,7372.89,EUR
146,Gregory Hall,5383.84,NOK
147,Lauren Booth,4447.54,USD
148,Kathleen Garcia,7141.31,MXN
149,Anthony Schultz,1680.85,ILS
150,Heather Scott,6358.03,ZAR
151,Mary Guerrero,6596.66,EUR
152,Erica Parker,6027.07,BRL
153,Danielle Butler,1388.93,INR
154,Sean Schmidt,5888.24,AUD
155,Elizabeth Smith,364.3,PLN
156,Robert Cruz,4709.72,BRL
157,Marissa Gonzalez,3012.98,PLN
158,Christian Simmons,5508.23,KRW
159,Karen Jackson,3326.37,NOK
160,Sarah Singleton,4799.41,JPY
161,Steven Mcconnell,3879.46,AUD
162,Lisa Crawford,1294.77,PLN
163,Tina Brown,3850.02,GBP
164,Matthew Branch,7425.12,KRW
165,Shannon Mercado,6894.43,GBP
166,Heather Richardson,3122.22,CHF
167,Diane Williams,6913.17,EUR
168,Anthony Brock,9173.38,SEK
169,Christopher Oliver,5491.72,USD
170,William Powell,9901.51,MXN
171,Dwayne Williams,6861.96,NOK
172,Benjamin Johnson,4183.43,MXN
173,Jesus Reyes Jr.,7959.26,SEK
174,Joshua Galvan,5344.16,CAD
175,John Summers,9996.51,CHF
176,Michele Olson,3111.8,SGD
177,Karen Owens,5052.6,PLN
178,Jonathan George,6142.36,HKD
179,Rebecca Hanson,3936.84,ILS
180,Natalie Nelson,767.16,ILS
181,Sarah Roberts,141.23,BRL
182,Bethany Pena,4199.45,EUR
183,Joseph Koch,4628.52,USD
184,Rachel Barnes,3858.81,KRW
185,Nichole Brown,2665.38,MXN
186,Theresa Sweeney,1177.61,INR
187,Crystal Johnson,1253.67,CAD
188,Sandra Garcia,8334.79,DKK
189,Austin White,6197.48,MXN
190,Andrew Vasquez,8552.72,INR
191,Heather Fox,8641.17,KRW
192,Gerald Baker,3237.28,PLN
193,Zachary Simmons,1854.07,JPY
194,Jessica Walker,1044.64,CAD
195,Cody Dawson,4485.54,HKD
196,Gary Washington,440.05,NZD
197,Alyssa Robinson,7686.37,INR
198,Rachel Jones,2168.06,AUD
199,Benjamin Burns,8738.15,PLN
200,April Alexander,3893.59,JPY
201,Sheri Keller,2006.16,ILS
202,Noah Avila,3620.27,PLN
203,Jared Gutierrez,4861.9,NZD
204,Craig Kelly,1106.82,EUR
205,Timothy Walker,1423.26,GBP
206,Adam Reed,5889.02,GBP
207,Cory Hoffman,2174.56,ILS
208,Austin Silva,7980.02,KRW
209,Rebecca Cortez,5239.12,NZD
210,Julia Ryan,4756.36,JPY
211,Richard Schaefer,7212.46,GBP
212,Bryan Hernandez,8221.56,ZAR
213,Anthony Branch,5417.27,USD
214,Amy Keith,597.89,ILS
215,Henry Jackson,1465.83,CAD
216,Crystal Roberts,6123.42,SEK
217,Kenneth Sherman,3521.59,ZAR
218,Stacey Mann,8726.8,DKK
219,Michael Sanchez,2397.36,PLN
220,Connie Jones,7752.84,PLN
221,Eric Olsen,223.99,CAD
222,Jessica Miller,3879.33,INR
223,Carlos Hall,4747.56,EUR
224,Jay Hayes,4976.0,NOK
225,Connie Wagner,8259.23,SEK
226,Amanda Gonzalez,7564.93,BRL
227,Joseph Rogers Jr.,580.88,ILS
228,Joshua Chambers,2991.23,INR
229,Kaitlyn Hamilton DDS,5382.32,SGD
230,Steven Dunlap,8677.55,NZD
231,Michael Powers,7542.59,KRW
232,Nathan Stanton,4459.39,GBP
233,Barbara Fowler,4814.84,NOK
234,Timothy Hansen,9400.05,INR
235,Cynthia Juarez,3141.31,MXN
236,Edward Hill,7962.33,PLN
237,Dr. Scott Murray,3560.7,ILS
238,Steve Thomas,4858.09,KRW
239,Sarah Conway,5490.36,AUD
240,Nicholas Hernandez,2282.08,USD
241,Bonnie Curry,4776.88,JPY
242,Mitchell Reese,8258.83,NOK
243,Marc Stevenson,6002.04,NOK
244,Emily Nicholson,4394.72,HKD
245,Brittany Moyer,356.84,SEK
246,Sharon Williams,7840.64,KRW
247,Jenna Obrien,2945.03,INR
248,Roberto Johnson,1518.45,MXN
249,Lisa Bush,6868.2,INR
250,Douglas Chung MD,7320.29,GBP
251,Becky Snyder,2342.84,INR
252,Daniel Mcdonald,2330.57,ZAR
253,Eric Stephens,9013.04,PLN
254,William Brooks,962.71,GBP
255,Stacy Ballard,2356.9,INR
256,Erin Estrada,5693.88,PLN
257,Daniel Cherry,1904.28,SEK
258,Cassandra Smith,12.84,USD
259,Danny Woodward,8856.4,CHF
260,Christopher Garrison,417.41,CAD
261,Mary Jackson,7713.73,DKK
262,Peggy Martinez,4671.25,INR
263,Douglas Ramos,4518.83,BRL
264,Larry Lowery Jr.,6504.74,EUR
265,Carla Hopkins,3769.6,JPY
266,Teresa Rivers,2082.18,GBP
267,Nicole Mcgee,9091.96,GBP
268,Patricia Morales,154.3,GBP
269,John Robinson,3003.94,DKK
270,Norman Wilson,824.04,BRL
271,Jeremy Brock,4811.3,ILS
272,Jeremy Little,7434.36,DKK
273,Matthew Butler,1039.85,MXN
274,Heidi Villarreal,1347.33,EUR
275,James Navarro,202.9,HKD
276,Michael Mccarty,4243.75,DKK
277,Janice Curry,3017.14,CHF
278,Ruth Young,5338.76,CAD
279,Clayton Dominguez,3028.96,NZD
280,Shawn Stone,3069.67,ILS
281,Anthony Livingston,6068.68,CHF
282,Joshua Brown,2255.39,NZD
283,Greg Nguyen,1621.01,ZAR
284,Jessica Hinton,9116.1,NZD
285,Kristopher Sanders,5350.0,HKD
286,Courtney Smith,2041.79,AUD
287,Ashley Stewart,2153.11,PLN
288,Ryan Whitney,6327.27,NOK
289,Samantha Scott,5198.08,USD
290,Justin Walls,6206.4,NOK
291,Angelica Wagner,7229.97,GBP
292,Evelyn Jones,3153.46,SEK
293,Melissa Webb,3906.73,CAD
294,Nancy Burnett,2276.27,DKK
295,Kaitlin Sanders,9025.42,MXN
296,Jon Romero,5009.73,NOK
297,Andrea Jones,3178.1,ZAR
298,Ricky Rios,7152.69,INR
299,Gabriela Cannon,8560.5,INR
300,Thomas Williams,607.0,DKK
301,Angela Fletcher,7661.7,AUD
302,Mark Brown,6343.37,AUD
303,Adrian Potter,5246.92,AUD
304,Gabriela Hall,2340.88,ZAR
305,Jennifer Walker,2145.01,KRW
306,Stacy Franklin,312.67,NOK
307,Devon Coffey,322.71,BRL
308,Daniel Hodges,5238.1,INR
309,Anne Allen,4207.94,DKK
310,Tammy Davis,3127.27,SEK
311,Adam Beck,8472.83,SGD
312,Chad Pratt,7727.39,HKD
313,Mark Fields,6937.53,GBP
314,Jason Mills,6314.82,PLN
315,Michael Reed,956.84,CAD
316,Dr. Tracy Leach MD,4042.39,CAD
317,Michelle Stanley,50.18,USD
318,Katherine Gutierrez,4288.14,BRL
319,Johnathan Johnson,409.27,MXN
320,Dalton Sweeney,429.51,GBP
321,Nicholas Flores,7653.39,BRL
322,Robert Reed,8571.73,GBP
323,Trevor Riley,8264.14,PLN
324,Andrew Payne,5626.98,INR
325,Lee Schneider,4272.44,AUD
326,John King,2348.6,NZD
327,Richard Mcintosh,6343.51,USD
328,Ashley Maxwell,338.63,HKD
329,Mark Frederick,806.85,CHF
330,Veronica Bell,1983.76,CHF
331,Brandon Lambert,7225.78,CHF
332,Kristen Carr,3654.07,INR
333,Susan Medina,6618.51,INR
334,Mark Serrano,3668.87,GBP
335,Crystal Austin,5880.45,CAD
336,Amy Klein,8282.62,DKK
337,John Bishop,919.28,USD
338,Tony Wilson,2914.38,BRL
339,Timothy Diaz,5328.99,HKD
340,Sean Medina,8235.07,KRW
341,John Mckinney,3136.81,ILS
342,Joseph Turner,4905.38,USD
343,Adam Roy,7785.66,ZAR
344,Manuel Suarez,791.33,USD
345,Sarah Flores,1655.54,SEK
346,Linda Jackson,9747.34,INR
347,Michael Glass,22.52,INR
348,Carol Robinson,5082.73,USD
349,Joseph Williams,2999.04,BRL
350,Matthew Thompson,4879.17,NZD
351,Lorraine Carlson,8616.92,ILS
352,Shawn Hall,2779.14,DKK
353,Derek Williams DVM,280.1,NZD
354,Corey Guzman,9414.02,JPY
355,Kelly Peterson,7538.27,NZD
356,Dr. Michael Cook,6528.95,ILS
357,Timothy Douglas,8418.82,HKD
358,Amanda Martin,3753.86,JPY
359,Jason Dalton,8597.32,SEK
360,William Campos,8295.61,AUD
361,Christine Johnson,4813.63,JPY
362,Emma Conley,6739.57,NOK
363,Sarah Gonzalez,4631.64,CAD
364,Kelly Floyd,9930.4,USD
365,Jeremy Ayala,4941.88,EUR
366,Jamie Gibson,1885.79,INR
367,Michelle Hamilton,9584.2,AUD
368,Elizabeth Hines,5730.2,PLN
369,Jennifer Anderson,8257.67,NZD
370,Marco Kramer,1008.91,CHF
371,John Yang,178.33,SGD
372,Larry Mcdaniel,4324.83,ZAR
373,Marvin Melton,7807.55,JPY
374,Timothy Ibarra,5333.27,SGD
375,Ryan Bishop,2127.55,NZD
376,Kristen Carroll,9962.17,PLN
377,Cynthia Roberts,7872.86,MXN
378,Aaron Green MD,5678.49,AUD
379,Mrs. Victoria Wilson,91.46,GBP
380,Brenda Herman,7463.55,BRL
381,Maria Mendez,5424.94,DKK
382,Paul Ballard,7869.14,SGD
383,Cory Howard,8704.74,GBP
384,Megan Ramsey,3980.94,CAD
385,Shannon Ball,4810.78,ZAR
386,Rachel Barnett,3123.54,SGD
387,Jessica Davis,6394.99,NZD
388,Deborah Fisher,2063.53,SGD
389,Darrell Cruz,9789.55,CHF
390,Randy Doyle,494.06,JPY
391,Nathaniel Ramos,5868.64,USD
392,Mary Nelson,2840.32,HKD
393,Lisa Brown,1070.95,SGD
394,Holly Walls,4421.03,CAD
395,Heather Guzman,9670.95,HKD
396,Miranda Brown,1539.91,CHF
397,Regina Mason,7444.73,SEK
398,Mr. Thomas Baker,7925.74,ILS
399,Calvin Cruz,4808.56,AUD
400,Jennifer Garcia,2262.6,AUD
401,Anne Miller,1940.54,PLN
402,Kelsey Wright,5746.99,USD
403,Phillip Mccann,8537.77,EUR
404,Christine Miller,9229.59,BRL
405,Autumn Davis,9981.55,PLN
406,Judy Carlson,7300.36,NOK
407,Seth Owens,3287.89,INR
408,Kevin Buckley,2326.91,PLN
409,Thomas Hall,5191.92,ILS
410,Rebecca Mccormick,6984.41,ILS
411,Alexander Riddle,498.62,EUR
412,Thomas Nguyen,8829.65,HKD
413,Benjamin Stokes,764.15,BRL
414,Paul Wise,5708.97,GBP
415,Jimmy Stafford,9087.24,INR
416,David Malone,5360.76,INR
417,Jonathan Williams,6240.91,CHF
418,Erika Jefferson,9130.32,SGD
419,Tonya Craig DDS,7584.7,CHF
420,Courtney Adams,7872.35,ILS
421,Colin Gaines,1847.44,AUD
422,Edward Williams,8570.96,USD
423,Kathryn Combs,6046.84,NZD
424,Jacob Crawford,9085.25,CHF
425,Nicole Thomas,4122.06,SGD
426,Anne Andrade,2776.13,INR
427,Erica Williamson,7681.91,KRW
428,Daniel Newton,1337.13,HKD
429,Marissa Richardson,1692.96,AUD
430,Kimberly Harper,9694.41,NZD
431,Andrew Rollins,7590.07,GBP
432,Kayla Smith,8768.02,PLN
433,Nicholas Mcbride,8693.7,MXN
434,Briana Ramsey,7367.04,NOK
435,Mary Schmidt,2288.72,ZAR
436,Jessica Foster,8957.44,INR
437,Christopher Branch,2777.33,KRW
438,Vernon Miller,1818.04,MXN
439,Mr. Robert Collins MD,630.77,KRW
440,Joshua Barton,2610.89,HKD
441,Johnny Huang,8563.12,CHF
442,Jason Kelly,8261.44,KRW
443,Dawn Hamilton,9127.98,GBP
444,Yvonne Chen,8720.28,ILS
445,Anthony Smith,3922.75,EUR
446,Jeanne Brown,5906.88,ZAR
447,Richard Marsh,3740.49,DKK
448,David Ramirez,869.0,DKK
449,Diana Fox,7150.61,CHF
450,Joseph Kemp,5502.1,USD
451,Shawn Palmer,2423.64,INR
452,Sarah Turner,8325.05,ZAR
453,Rachel Gardner,3776.38,NZD
454,Joseph Lopez,9456.57,NOK
455,Lisa White,5813.83,ZAR
456,Rebecca Ayala,7651.83,AUD
457,Richard Hunt,3605.5,DKK
458,Daniel Edwards,9467.78,JPY
459,Jesse Anderson,1516.55,SEK
460,Zachary Weber,323.52,EUR
461,Glenn Thompson,8637.91,USD
462,Shane Ramos,9522.31,CAD
463,Paul Kent,513.4,KRW
464,David Jackson,5185.81,KRW
465,Laura Walters,3269.01,HKD
466,Nicholas Hoover,2790.89,GBP
467,Andrew Kelly,8737.51,HKD
468,Matthew Jackson,974.79,NZD
469,Rhonda Mack,927.06,NOK
470,Teresa Miller,9176.32,PLN
471,Sara Ibarra,8691.75,CAD
472,Timothy Castillo,8000.61,INR
473,Matthew Martinez,4727.4,ZAR
474,Jordan Grant,4923.77,SGD
475,Austin Reynolds,8275.02,AUD
476,Alyssa Conner,6223.94,HKD
477,Daniel Shannon,1552.37,PLN
478,Chelsea Brooks,5377.0,SGD
479,Eric Johnson,5558.1,MXN
480,Robert Martin,6845.0,GBP
481,Sherry Thomas,8831.06,MXN
482,David Kim,5657.81,PLN
483,Brian Johnson,2667.41,SEK
484,James Hunter,1182.61,SGD
485,Kayla Cooper,7380.59,ZAR
486,Jacob Mcconnell,9018.85,PLN
487,Jason Cooper,4228.47,USD
488,Anna Soto,4423.56,NZD
489,Alyssa Sandoval,5467.58,AUD
490,Kelsey Thompson,7509.1,INR
491,Laurie Mcdowell,5264.21,ILS
492,Thomas Rojas,3423.59,INR
493,Brett Parsons,1026.56,PLN
494,Jason Hammond,6041.68,NOK
495,David Rojas,1834.1,JPY
496,Emily Andrade,101.14,KRW
497,Jason Young,3057.24,NZD
498,Larry Duke,4312.46,KRW
499,Traci Smith,5140.72,SEK
500,Joanne Simpson,9394.74,AUD
501,Jerry Bond,715.25,INR
502,Karen Roth,2187.33,NZD
503,Amanda Porter,5801.05,HKD
504,Ariana Lucas,6185.04,MXN
505,David Peterson,1562.48,AUD
506,Wendy Kelly,2128.18,AUD
507,Christopher Diaz,9528.64,BRL
508,David Thompson Jr.,830.62,CHF
509,Rachel Leblanc,1488.09,PLN
510,Benjamin Cherry,2686.72,AUD
511,John Wright,4785.9,HKD
512,Victor Hughes,6406.5,CHF
513,Mark Walton,284.82,BRL
514,Dawn Marsh,3757.96,EUR
515,Joseph Mason,1041.37,CHF
516,Tonya Johnson,626.63,USD
517,Curtis Phillips,6238.47,EUR
518,Jennifer Shepherd,4724.36,SEK
519,Noah Smith,2237.52,PLN
520,Joseph Swanson,1484.0,CAD
521,Marc Thornton,8794.01,EUR
522,Gabrielle Salas,5625.07,SGD
523,Ricky Hale,4990.47,KRW
524,Kelly Barrera,1400.04,HKD
525,Steven Buchanan,7612.61,NZD
526,Lauren Bauer,8873.62,INR
527,Brianna Parker,1223.66,DKK
528,Deborah Turner,9480.32,PLN
529,Shawn Ramirez,6914.02,GBP
530,Troy Dorsey,4287.49,DKK
531,Darlene Moreno,7978.69,INR
532,Kathryn Stout,5565.57,ILS
533,Christopher Glenn,137.38,NOK
534,Darryl Nelson,4692.71,EUR
535,Gloria Rhodes,6678.76,SGD
536,Gary James,6397.88,ZAR
537,Rachel Martin,8361.88,JPY
538,Steven Washington,3007.88,USD
539,Jesse Ellis,9816.34,NZD
540,Veronica Goodwin,4801.19,BRL
541,Janet Jones,9756.88,INR
542,Randy Mercado,9355.4,KRW
543,Olivia Glenn,2826.08,DKK
544,David Carter,1291.88,HKD
545,Lori Miller,1783.23,DKK
546,James Rodriguez,1811.23,USD
547,Rachel White,2427.19,CHF
548,Kathleen Mcdaniel,674.77,SGD
549,Angel Green,1065.88,MXN
550,Vincent Spencer,2764.4,GBP
551,Kelly Simmons,3771.35,PLN
552,Meredith Harper,747.98,MXN
553,Barbara Gilbert,5178.04,INR
554,James Castillo,8352.85,PLN
555,Julia Ruiz,2610.32,CHF
556,Timothy Castaneda,4240.43,CHF
557,Molly Rhodes,774.81,AUD
558,Terrance Shannon,9880.2,ILS
559,Rachel Clark,2891.51,MXN
560,Sarah Lawrence,9663.49,NOK
561,James Evans,8237.09,HKD
562,Rachel Mcconnell,7663.35,GBP
563,Todd Jones,7111.16,ILS
564,Christy Mccormick,6888.93,SEK
565,Angela Thomas,952.31,INR
566,Jason Rose,7185.05,NOK
567,Erica James,1916.42,CAD
568,Jacob Pena,6274.4,MXN
569,Alexandra Burke,899.13,CAD
570,Melissa Jennings,6255.57,USD
571,David Sherman,34.29,DKK
572,Cindy Oconnor,4636.27,DKK
573,Thomas Sullivan,9768.11,ZAR
574,Morgan Hebert,6664.6,HKD
575,Yvonne Henry,2767.35,GBP
576,Philip Vega PhD,6209.27,CAD
577,Ronald Reynolds,2705.63,NOK
578,Keith Chen Jr.,702.41,ILS
579,David Willis,8968.9,PLN
580,Randy Johnson,8187.85,BRL
581,Amanda Mason,9963.47,BRL
582,Brandi Martin,8801.19,PLN
583,Crystal Wells,9173.62,BRL
584,James Lee,2351.28,USD
585,Sherry Reed,3329.02,USD
586,Crystal Robertson,9172.16,SGD
587,John Knight,2167.95,DKK
588,Amanda Hunter,8090.89,EUR
589,Walter Cole,2383.69,SEK
590,Walter Oconnor,9665.69,GBP
591,Thomas Young,7524.71,SGD
592,Elizabeth Miller,1713.79,SGD
593,Angela Bailey,6545.13,EUR
594,Lacey Chambers,1778.83,HKD
595,Ms. Angela Thomas,2007.18,GBP
596,Tony Cook,2363.24,INR
597,Matthew Leon,1110.29,CAD
598,Lori Lewis,8618.39,EUR
599,Antonio Simmons,2167.7,MXN
600,David Chavez,1665.38,SGD
601,Jennifer Mueller,5544.96,ILS
602,Steven Gonzalez,9774.2,JPY
603,John Pugh,4536.15,INR
604,David Johnson,3229.81,SGD
605,Cynthia Sullivan,2654.72,SGD
606,Martha Martinez,6256.19,CHF
607,Zachary Simpson,9774.65,KRW
608,Jerry Harrell,2813.63,SEK
609,Louis Gibson,250.88,BRL
610,Katie Collins,9488.43,HKD
611,Mary Hanson,7495.31,EUR
612,Larry Murphy,8131.54,MXN
613,Melissa May,9675.52,SGD
614,Dr. Brittany Gilbert,1756.22,GBP
615,Lisa Williams,2545.0,NZD
616,Joseph Guerrero,3637.42,PLN
617,Elizabeth Robles,5181.06,GBP
618,Daniel Hicks,6564.15,DKK
619,David Arnold,4376.09,JPY
620,Beverly Hooper,3358.18,MXN
621,Tracey Morgan,9513.15,INR
622,Meredith James,1615.26,INR
623,Jose Lopez,1799.54,EUR
624,Michelle Scott,9895.85,KRW
625,Jose Kline,8741.16,SGD
626,Patrick Frey,9124.48,ILS
627,Elijah Watts,1399.89,CAD
628,Mr. Andrew Richards,8597.77,BRL
629,Suzanne Carlson,4487.9,BRL
630,Cheyenne Alexander,2164.74,AUD
631,Charles Graham,3404.84,JPY
632,Samantha Kim,2134.3,CHF
633,Michelle Reeves,8467.09,SEK
634,Cathy Melton,4669.99,NZD
635,Wendy Thomas,2064.18,CAD
636,Kim Barry,4432.53,NOK
637,David Santiago,5123.95,HKD
638,Lacey Gonzales,6684.55,INR
639,Luis Pierce,5921.51,PLN
640,Matthew Fernandez,7678.63,JPY
641,Jacob Roberson,3003.7,GBP
642,Lori Marquez,3965.81,KRW
643,Ronald Lewis,6783.18,SEK
644,Gabriel Marquez,3872.59,HKD
645,James Carpenter,8399.31,MXN
646,Jeffrey Merritt,4769.23,NOK
647,Christopher Coffey,3730.06,KRW
648,Nicole Young,8784.84,INR
649,Lance Glover,2000.21,CAD
650,Eric Rivera,3090.41,HKD
651,Sean Anderson,9185.64,BRL
652,Roger Ho,7010.95,KRW
653,Richard Bennett,9120.55,CHF
654,Patrick Martinez,4110.42,INR
655,Thomas Buck,1359.39,CHF
656,Raymond Wade,6527.33,DKK
657,Jessica Poole,4597.59,DKK
658,Christopher Montoya,6255.29,NZD
659,Christina Mack,2821.09,USD
660,Kimberly Martinez,7057.25,NOK
661,John Sanchez,2115.47,SEK
662,Brenda Robinson,2427.05,USD
663,Tammy Gamble,4069.1,SEK
664,Kimberly Powell,7770.53,NZD
665,Logan Larson,3859.96,SEK
666,Randall Banks,2707.23,KRW
667,Douglas Roberts,7576.85,ZAR
668,Kristy Johns,2148.55,SGD
669,Nathan Long DDS,6477.6,BRL
670,James Maldonado,2952.46,CHF
671,Christy Paul,6973.54,INR
672,Emma Willis,5868.48,NZD
673,Shelly Herrera,6730.02,EUR
674,Johnny Allen,9546.7,KRW
675,Sarah Riddle,7573.93,SEK
676,Charles Lopez,884.61,CAD
677,Nicholas Ramirez,7845.3,EUR
678,Dale Figueroa,3970.08,CAD
679,Zachary Burton,754.85,KRW
680,Mark Delacruz,6479.39,MXN
681,Brittany Walker,351.02,DKK
682,Cynthia Martin,8525.21,EUR
683,Mr. Adam Banks Jr.,8977.28,NOK
684,Grace Smith,1361.34,KRW
685,Jessica Newman,7247.24,ZAR
686,Dawn Wilson,4363.18,JPY
687,Joshua Romero,4786.22,EUR
688,Mrs. Amber Tucker MD,8478.77,NZD
689,Jacob Sims,5371.79,PLN
690,Sydney Moon,9832.36,GBP
691,Charles Townsend,5167.52,NOK
692,Matthew Mejia,1495.37,USD
693,Meagan Contreras,4733.64,CHF
694,Justin Rodriguez,1756.37,SGD
695,Benjamin Herring,5806.85,DKK
696,Marvin Saunders,7724.27,GBP
697,Amanda Smith,6726.43,CHF
698,Victoria Jones,874.11,NZD
699,Taylor Davis,8053.98,HKD
700,Amanda Rivers,7227.24,SGD
701,Matthew Jones,3578.13,SEK
702,Jeffrey Stone,263.19,ZAR
703,Sarah Walker,3221.9,AUD
704,Erika Price,7014.08,AUD
705,Mr. Jeffrey Leonard,4890.17,AUD
706,Kevin Peterson,7693.68,USD
707,Anthony Lyons,6577.18,SEK
708,Brittany Perry,3135.85,SEK
709,Abigail Jones MD,7629.71,PLN
710,Christian Anderson,8344.94,SGD
711,Henry Turner,1612.98,BRL
712,Kelly Benton,7042.75,CHF
713,Bonnie Thompson,4455.31,ZAR
714,Michael Figueroa,997.53,DKK
715,Matthew White,8936.89,SGD
716,Alfred Miller,9838.44,EUR
717,Victoria Cunningham,5267.57,EUR
718,Brandi Smith,7582.06,EUR
719,Corey Barrera,8822.13,JPY
720,Christopher Spencer,2065.0,DKK
721,Albert Brown,3270.05,JPY
722,Crystal Johnson,437.79,PLN
